aX,aY,aZ,gX,gY,gZ
0.481,-0.163,0.810,5.188,0.916,3.967
0.479,-0.165,0.815,4.883,0.732,3.540
0.475,-0.158,0.832,5.676,0.916,2.136
0.474,-0.152,0.832,7.141,0.854,0.977
0.474,-0.151,0.825,9.094,0.305,0.244
0.469,-0.149,0.819,8.728,-0.671,0.061
0.472,-0.156,0.815,10.620,-1.160,-0.671
0.471,-0.146,0.798,12.085,-1.587,-0.488
0.467,-0.150,0.792,13.489,-0.977,0.427
0.453,-0.154,0.811,16.602,1.099,1.587
0.454,-0.183,0.798,24.597,3.479,2.563
0.497,-0.248,0.881,23.743,4.822,5.737
0.402,-0.208,0.984,27.710,9.521,7.446
0.383,-0.328,1.036,39.551,17.029,7.385
0.331,-0.493,1.183,34.363,17.944,17.944
0.260,-0.731,1.314,39.368,19.714,35.889
0.223,-1.036,1.537,41.992,26.794,54.138
0.245,-1.307,1.787,35.889,34.912,71.960
0.253,-1.369,1.970,34.302,39.917,81.787
0.109,-1.337,2.042,19.104,32.104,80.444
-0.130,-1.330,1.973,-3.845,21.851,77.087
-0.385,-1.303,1.815,-26.489,16.541,88.074
-0.816,-1.281,1.599,-55.786,20.142,110.779
-1.221,-1.285,1.349,-84.900,29.541,129.150
-1.473,-1.329,1.073,-118.530,41.931,137.817
-1.546,-1.374,0.820,-156.189,66.833,134.888
-1.329,-1.335,0.494,-175.232,93.262,123.901
-0.736,-0.974,0.256,-181.946,122.009,109.558
0.021,-0.306,0.026,-172.058,155.334,93.140
0.601,0.274,-0.111,-162.781,164.185,96.497
0.856,0.483,-0.136,-188.843,192.200,154.419
0.951,0.457,-0.157,-258.362,250.061,243.958
1.132,-0.035,-0.409,-293.457,297.852,295.532
1.145,-0.308,-0.635,-317.200,292.786,299.744
1.402,-0.079,-0.836,-289.490,246.704,229.614
1.601,0.397,-1.052,-163.147,190.491,77.576
1.659,0.798,-1.273,-22.278,154.541,-74.158
1.428,1.470,-1.339,15.381,143.799,-178.650
1.046,1.939,-1.358,10.803,137.329,-216.736
0.776,2.520,-1.361,27.039,161.987,-100.464
0.848,2.644,-0.857,11.169,180.237,-65.125
0.919,2.485,-0.310,-22.034,184.509,-28.564
0.938,2.095,-0.261,-65.063,162.476,38.269
1.043,1.458,-0.233,-97.290,128.357,82.703
1.208,0.629,-0.213,-97.839,99.243,98.633
1.521,0.347,0.263,-85.083,93.384,101.807
1.812,0.318,0.843,-56.763,83.313,84.961
1.763,0.561,1.152,-52.246,55.054,54.871
1.485,1.005,1.071,-44.312,22.949,15.503
1.254,1.363,0.860,10.559,1.038,-27.832
1.036,1.426,0.649,70.496,-6.104,-53.528
0.708,1.103,0.318,90.515,1.709,-39.978
0.370,0.661,-0.142,69.702,1.709,-3.113
0.034,0.132,-0.477,40.649,-23.621,26.672
-0.005,-0.282,-0.578,16.907,-43.335,36.926
0.144,-0.320,-0.451,5.676,-40.100,44.617
0.322,-0.116,-0.211,9.521,-29.053,46.265
0.501,0.123,0.000,9.216,-11.169,33.203
0.706,0.332,0.218,3.174,0.244,10.864
0.856,0.429,0.385,-1.099,7.141,-14.771
0.951,0.451,0.451,-7.935,10.010,-37.781
1.001,0.446,0.414,-12.268,12.268,-47.119
0.971,0.427,0.340,-5.859,12.085,-44.128
0.907,0.462,0.288,2.258,3.723,-46.021
0.843,0.441,0.264,20.630,-6.470,-41.077
0.797,0.418,0.171,32.959,-17.639,-18.494
0.758,0.334,0.110,37.048,-31.250,-2.991
0.767,0.247,0.082,32.471,-39.795,10.193
0.818,0.188,0.110,22.766,-39.490,15.137
0.911,0.207,0.229,15.198,-32.715,18.066
0.988,0.218,0.335,7.629,-29.419,9.521
1.030,0.221,0.413,0.977,-28.137,-4.883
1.055,0.279,0.463,-11.658,-23.804,-16.479
1.064,0.357,0.488,-26.672,-16.724,-26.062
1.055,0.407,0.494,-35.095,-14.160,-35.645
1.044,0.456,0.465,-41.077,-15.076,-41.992
1.009,0.458,0.400,-40.405,-13.855,-43.030
0.947,0.449,0.326,-28.015,-13.489,-35.095
0.874,0.446,0.290,-2.747,-21.118,-21.423
0.870,0.441,0.265,25.757,-32.532,-10.071
0.852,0.401,0.285,40.222,-40.039,-3.052
0.827,0.322,0.283,37.720,-38.574,1.526
0.805,0.283,0.296,28.748,-35.583,5.676
0.812,0.264,0.305,23.071,-33.691,4.578
0.836,0.201,0.287,17.822,-31.067,-2.686
0.849,0.211,0.380,3.052,-28.137,-9.888
0.862,0.210,0.382,-6.775,-23.071,-16.296
0.866,0.193,0.375,-0.732,-18.005,-21.606
0.866,0.194,0.385,5.310,-17.334,-22.949
0.859,0.239,0.394,3.601,-19.714,-20.630
0.849,0.287,0.396,1.221,-21.179,-17.456
0.844,0.321,0.400,4.883,-22.461,-15.320
0.856,0.355,0.398,8.728,-24.475,-11.841
0.855,0.360,0.386,7.263,-25.879,-8.240
0.840,0.353,0.388,1.770,-25.391,-6.042
0.821,0.326,0.398,-4.272,-22.400,-6.042
0.823,0.264,0.385,-9.827,-16.724,-8.301
