aX,aY,aZ,gX,gY,gZ
-0.173,0.783,-4.000,154.053,64.941,68.787
0.237,0.442,-3.930,79.041,-95.581,21.057
0.296,0.305,-2.785,-35.461,-192.627,-16.602
0.189,0.415,-1.355,-148.437,-248.596,-47.424
0.168,0.292,-0.080,-181.458,-263.550,-47.668
0.480,-0.058,0.662,-155.151,-223.999,-22.949
1.193,-0.713,0.811,-93.628,-130.920,11.658
1.577,-0.935,0.647,-27.466,-17.334,50.049
1.571,-0.898,0.464,17.761,53.833,66.284
1.329,-0.765,0.324,53.345,67.505,55.969
0.982,-0.636,0.109,89.478,58.167,39.612
0.604,-0.493,-0.231,122.314,60.913,22.522
0.251,-0.282,-0.623,141.846,77.637,10.986
-0.039,-0.108,-1.084,152.039,87.952,12.756
-0.207,0.001,-1.522,149.963,84.473,21.240
-0.278,0.060,-1.847,125.000,68.970,31.677
-0.245,0.058,-2.019,83.801,44.128,47.424
-0.009,-0.019,-2.017,41.016,21.179,64.148
0.320,-0.107,-1.830,0.793,6.042,77.148
0.542,-0.123,-1.507,-36.011,-2.991,80.383
0.674,-0.049,-1.122,-61.401,-14.771,69.519
0.788,-0.030,-0.746,-72.266,-28.076,51.514
0.841,-0.035,-0.411,-67.017,-36.194,30.518
0.824,-0.062,-0.162,-45.715,-34.607,9.216
0.777,-0.121,-0.074,-12.329,-21.973,-7.263
0.710,-0.201,-0.167,24.292,-3.662,-17.395
0.644,-0.270,-0.368,54.504,14.038,-22.766
0.551,-0.326,-0.609,74.768,27.710,-23.560
0.419,-0.323,-0.874,87.708,37.598,-19.104
0.294,-0.266,-1.108,88.928,43.091,-10.132
0.175,-0.173,-1.259,75.378,42.358,-0.427
0.113,-0.091,-1.384,54.626,36.987,10.193
0.130,-0.046,-1.471,32.043,30.151,18.555
0.183,-0.016,-1.466,8.118,22.217,23.132
0.264,-0.001,-1.351,-10.254,12.207,22.644
0.327,-0.013,-1.183,-17.334,-0.061,17.944
0.406,-0.064,-1.007,-16.052,-11.902,11.108
0.456,-0.111,-0.804,-12.939,-19.287,3.479
0.496,-0.156,-0.656,-7.324,-19.165,-1.526
0.541,-0.190,-0.590,0.000,-11.108,-1.526
0.547,-0.160,-0.623,6.409,1.282,2.747
0.545,-0.123,-0.723,12.634,12.207,5.371
0.509,-0.089,-0.865,17.578,17.639,4.944
0.450,-0.058,-0.995,22.522,17.151,0.977
0.391,-0.055,-1.081,24.597,13.000,-4.883
0.327,-0.076,-1.113,23.682,6.470,-9.216
0.279,-0.109,-1.117,20.020,0.977,-8.972
0.266,-0.126,-1.094,11.597,-0.183,-3.418
0.280,-0.116,-1.034,1.587,0.916,4.639
0.295,-0.082,-0.972,-4.578,0.916,12.573
0.354,-0.076,-0.951,-6.042,-0.061,16.602
0.427,-0.082,-0.938,-5.737,-0.610,16.663
0.484,-0.099,-0.905,-6.531,-0.061,13.550
0.504,-0.103,-0.862,-5.371,-0.183,8.972
0.512,-0.120,-0.814,-2.014,0.061,3.601
0.491,-0.124,-0.775,2.441,2.441,-0.732
0.444,-0.108,-0.783,8.606,5.920,-2.991
0.396,-0.097,-0.854,16.357,8.606,-4.272
0.349,-0.088,-0.961,22.461,9.583,-4.517
0.334,-0.102,-1.060,23.743,8.728,-4.211
0.316,-0.087,-1.126,19.470,6.836,-2.502
0.331,-0.083,-1.144,13.123,3.235,-0.916
0.375,-0.100,-1.084,4.944,-0.793,1.465
0.410,-0.106,-0.988,-2.075,-3.052,3.052
0.426,-0.089,-0.892,-5.859,-3.662,4.028
0.428,-0.079,-0.826,-6.653,-2.747,3.967
0.422,-0.075,-0.809,-2.625,-0.854,2.014
0.401,-0.078,-0.859,4.272,0.549,-0.366
0.376,-0.098,-0.933,10.864,0.610,-2.380
0.333,-0.102,-0.998,13.672,0.061,-3.052
0.309,-0.094,-1.041,13.306,-0.061,-3.052
0.313,-0.103,-1.051,10.010,-0.732,-2.319
0.328,-0.104,-1.031,5.188,-1.587,-0.244
0.357,-0.103,-0.995,0.366,-2.014,2.991
0.398,-0.102,-0.939,-3.784,-1.770,6.226

-0.307,0.690,1.964,184.021,14.954,11.414
-0.346,0.682,1.965,210.510,30.518,10.437
-0.372,0.651,1.966,237.854,45.837,10.193
-0.396,0.592,1.930,263.123,61.279,14.893
-0.404,0.540,1.888,283.081,77.393,25.452
-0.417,0.496,1.838,297.852,93.384,38.330
-0.421,0.452,1.787,313.110,107.361,50.720
-0.424,0.431,1.774,324.280,120.605,61.523
-0.432,0.442,1.805,333.191,134.338,70.801
-0.436,0.455,1.840,347.595,149.658,79.407
-0.428,0.456,1.848,367.676,167.542,89.539
-0.399,0.470,1.858,387.878,185.425,99.060
-0.372,0.462,1.859,412.292,203.552,104.248
-0.388,0.465,1.793,438.782,224.915,107.239
-0.429,0.467,1.676,462.830,246.460,110.168
-0.441,0.401,1.560,478.516,266.724,116.272
-0.425,0.337,1.393,487.244,286.133,126.953
-0.348,0.356,1.195,490.967,303.162,142.151
-0.248,0.385,1.016,487.000,311.401,158.020
-0.130,0.360,0.852,479.431,307.861,166.748
-0.011,0.362,0.658,468.811,301.514,170.105
0.063,0.365,0.511,452.698,296.509,169.373
0.117,0.421,0.377,433.350,292.542,163.025
0.172,0.446,0.274,416.077,288.330,153.015
0.286,0.364,0.191,411.133,285.034,144.470
0.268,0.373,0.126,407.227,280.823,141.113
0.199,0.437,0.081,396.545,270.508,134.705
0.139,0.439,0.022,384.583,257.751,128.296
-0.045,0.541,-0.028,364.929,252.563,126.465
-0.229,0.662,-0.070,342.590,257.812,129.028
-0.275,0.712,-0.134,324.280,273.132,135.803
-0.256,0.755,-0.199,306.519,288.696,144.287
-0.191,0.790,-0.288,300.476,296.692,147.949
-0.155,0.812,-0.412,306.091,296.448,146.851
-0.225,0.845,-0.541,315.002,289.673,138.611
-0.384,0.867,-0.699,323.914,277.161,125.671
-0.604,0.876,-0.899,328.186,267.029,117.798
-0.822,0.870,-1.233,324.646,266.418,118.286
-1.043,0.929,-1.564,306.152,274.475,123.901
-1.359,1.179,-1.892,276.611,276.855,135.315
-1.700,1.580,-2.306,252.747,261.658,153.564
-1.973,1.899,-2.880,236.206,227.478,169.189
-1.792,2.003,-3.482,209.595,171.692,166.565
-1.099,1.552,-3.995,143.799,70.068,156.433
-0.293,0.857,-4.000,34.729,-41.565,139.771
0.593,0.115,-3.540,-42.847,-94.421,121.460
0.912,-0.042,-2.271,-123.169,-109.741,110.107
0.917,0.023,-0.712,-188.049,-122.375,91.797
0.850,0.064,0.646,-190.125,-122.070,66.589
0.941,-0.062,1.486,-130.005,-97.412,41.443
1.045,-0.166,1.573,-30.640,-45.288,26.611
1.090,-0.201,0.948,70.129,14.099,23.560
1.125,-0.190,0.119,136.658,59.509,21.362
0.992,-0.121,-0.690,165.283,85.144,20.569
0.745,0.054,-1.327,162.476,89.722,17.578
0.411,0.275,-1.772,137.512,81.726,19.165
0.122,0.489,-2.008,97.168,64.392,20.996
-0.087,0.610,-2.031,55.664,36.682,19.287
-0.104,0.586,-1.898,15.137,4.761,18.799
-0.005,0.507,-1.616,-20.386,-21.118,19.836
0.229,0.356,-1.237,-44.128,-34.607,19.836
0.466,0.194,-0.882,-52.307,-41.565,18.311
0.643,0.050,-0.594,-48.950,-43.274,14.221
0.791,-0.109,-0.398,-37.354,-37.903,8.667
0.870,-0.216,-0.283,-23.804,-27.039,6.897
0.855,-0.216,-0.270,-9.460,-11.475,8.728
0.794,-0.143,-0.373,5.798,3.662,11.658
0.685,-0.036,-0.562,22.217,16.052,10.498
0.529,0.060,-0.792,35.950,22.644,6.104
0.378,0.118,-1.035,44.250,24.963,1.038
0.282,0.169,-1.233,39.734,23.071,0.000
0.266,0.180,-1.315,25.574,18.250,3.235
0.256,0.212,-1.296,7.263,11.292,9.705
0.305,0.228,-1.208,-8.362,4.761,15.259
0.370,0.251,-1.081,-19.348,-1.038,18.066
0.457,0.224,-0.965,-22.095,-4.944,16.357
0.543,0.161,-0.844,-19.531,-8.118,11.292
0.601,0.092,-0.745,-15.564,-8.301,5.920
0.615,0.049,-0.681,-9.766,-5.859,0.854
0.608,0.021,-0.664,-3.174,-1.465,-2.869
0.577,0.015,-0.693,4.028,3.662,-6.042
0.519,0.036,-0.755,12.634,7.324,-8.545
0.467,0.058,-0.856,19.897,9.277,-10.254
0.423,0.084,-0.953,22.583,9.399,-11.414
0.375,0.118,-1.035,21.423,7.141,-10.376
0.324,0.148,-1.079,16.541,4.272,-7.324
0.309,0.169,-1.091,9.521,1.770,-3.052
0.336,0.193,-1.074,1.404,-0.366,2.136
0.371,0.199,-1.034,-5.920,-2.747,6.287
0.418,0.183,-0.972,-8.972,-5.554,7.568
0.465,0.159,-0.897,-10.925,-7.263,7.324
0.515,0.128,-0.839,-10.925,-6.470,4.822
0.546,0.110,-0.816,-8.240,-5.127,0.977
0.571,0.080,-0.819,-3.479,-3.967,-2.747
0.566,0.068,-0.815,-0.305,-2.319,-5.676
0.531,0.083,-0.804,1.038,0.183,-6.470
0.486,0.113,-0.819,2.380,2.747,-5.188
0.438,0.151,-0.845,3.479,5.188,-3.784
0.422,0.157,-0.892,5.432,7.019,-3.662
0.411,0.155,-0.954,7.141,6.836,-3.906
0.417,0.145,-1.002,6.958,5.493,-4.333
0.413,0.124,-1.028,5.676,3.113,-4.700
0.411,0.106,-1.022,3.723,-0.305,-5.005
0.396,0.098,-0.990,0.366,-2.991,-4.272
0.393,0.079,-0.934,-2.319,-3.845,-3.540
0.405,0.065,-0.890,-3.540,-3.967,-2.136
0.436,0.051,-0.867,-3.662,-3.357,-0.610
0.476,0.041,-0.840,-3.601,-1.648,1.282
0.503,0.048,-0.824,-2.563,-0.183,3.052
0.506,0.075,-0.809,-0.183,1.099,3.601
0.493,0.096,-0.826,3.540,2.502,2.747
0.479,0.106,-0.874,7.751,3.906,1.221
0.460,0.117,-0.930,9.888,4.822,-0.427
0.441,0.121,-0.980,10.559,4.028,-1.465
0.429,0.115,-1.001,9.155,2.625,-2.075
0.422,0.117,-1.004,5.676,1.404,-2.319
0.418,0.115,-1.000,3.174,-0.488,-2.686
0.404,0.106,-0.987,2.014,-3.113,-3.174
0.402,0.088,-0.962,1.404,-5.615,-3.235

-0.239,0.588,2.154,255.920,82.520,-6.287
-0.280,0.590,2.139,277.710,108.582,6.775
-0.323,0.631,2.111,295.715,128.296,21.179
-0.363,0.662,2.077,317.078,139.160,34.119
-0.395,0.683,2.028,341.492,145.813,42.480
-0.422,0.650,1.980,368.591,156.372,51.514
-0.367,0.538,1.922,396.729,173.828,60.669
-0.317,0.487,1.820,412.720,197.815,67.810
-0.237,0.455,1.683,419.006,222.473,75.195
-0.201,0.425,1.572,419.495,244.385,78.491
-0.141,0.422,1.504,419.128,262.024,72.571
-0.079,0.354,1.409,419.006,272.705,68.420
-0.005,0.236,1.328,419.800,272.461,69.214
0.016,0.186,1.243,416.687,263.916,70.923
0.004,0.167,1.155,409.790,250.122,75.073
-0.002,0.136,1.076,404.236,232.788,78.552
-0.019,0.099,0.967,398.437,217.407,80.627
-0.071,0.118,0.880,388.916,209.412,79.712
-0.160,0.159,0.897,377.014,207.642,76.172
-0.259,0.227,0.928,372.498,214.661,75.867
-0.335,0.290,0.889,380.127,227.051,82.031
-0.382,0.317,0.706,398.499,242.004,97.290
-0.394,0.382,0.416,412.720,258.606,117.859
-0.343,0.472,0.124,411.621,274.536,136.536
-0.238,0.428,-0.132,394.958,288.513,145.081
-0.137,0.420,-0.279,360.901,293.274,139.343
-0.114,0.476,-0.295,323.059,293.762,127.625
-0.123,0.553,-0.266,297.729,292.175,116.943
-0.130,0.613,-0.258,293.457,283.264,110.657
-0.153,0.652,-0.295,304.321,268.616,110.596
-0.198,0.663,-0.425,317.932,254.456,112.793
-0.264,0.678,-0.599,327.881,248.657,112.915
-0.275,0.617,-0.844,328.430,253.235,113.770
-0.339,0.552,-1.102,315.918,262.390,115.173
-0.433,0.556,-1.388,289.185,271.667,115.906
-0.497,0.544,-1.673,257.507,277.405,117.004
-0.597,0.621,-1.911,222.473,272.522,119.995
-0.675,0.715,-2.098,193.054,253.418,122.681
-0.761,0.921,-2.252,166.626,220.032,123.657
-0.870,1.145,-2.452,145.691,176.941,119.019
-0.841,1.178,-2.683,133.240,130.005,104.309
-0.720,1.045,-2.808,120.239,81.604,86.548
-0.458,0.759,-2.760,95.459,27.283,78.186
0.113,0.219,-2.524,57.861,-21.301,77.271
0.796,-0.377,-1.999,19.470,-40.283,86.365
1.096,-0.473,-1.253,-16.357,-31.921,98.389
1.171,-0.355,-0.451,-45.410,-19.714,89.172
1.137,-0.235,0.174,-42.725,-8.911,65.308
1.084,-0.185,0.421,-5.737,-0.488,38.513
1.026,-0.149,0.286,42.847,13.306,15.686
0.912,-0.114,-0.085,81.787,28.809,-0.610
0.757,-0.065,-0.595,101.196,41.504,-12.024
0.607,-0.022,-1.129,101.868,47.668,-18.555
0.417,0.046,-1.503,88.806,45.715,-16.479
0.239,0.127,-1.727,68.237,37.354,-9.766
0.145,0.167,-1.775,42.358,26.245,-3.052
0.068,0.230,-1.677,8.667,11.902,3.479
0.096,0.202,-1.433,-17.822,-6.226,9.094
0.262,0.110,-1.145,-33.813,-19.348,13.000
0.483,-0.035,-0.844,-40.955,-22.827,13.428
0.641,-0.154,-0.599,-35.828,-22.766,10.986
0.693,-0.219,-0.434,-22.827,-19.836,6.775
0.730,-0.282,-0.370,-7.019,-11.719,1.282
0.689,-0.280,-0.427,9.888,-3.052,-1.648
0.610,-0.262,-0.585,26.611,2.686,-2.258
0.520,-0.235,-0.764,36.560,7.812,-0.183
0.433,-0.157,-0.928,37.842,13.489,7.446
0.343,-0.027,-1.054,32.043,16.479,16.724
0.301,0.060,-1.152,23.743,13.794,23.499
0.328,0.093,-1.206,16.907,8.118,27.344
0.363,0.120,-1.219,7.507,-0.977,27.588
0.453,0.114,-1.167,0.610,-7.690,23.621
0.536,0.079,-1.054,-5.432,-11.414,17.212
0.614,0.032,-0.902,-10.254,-12.085,11.230
0.637,0.011,-0.710,-13.672,-9.094,6.714
0.647,-0.003,-0.594,-11.169,-3.601,2.808
0.643,-0.013,-0.593,-2.014,2.686,-1.465
0.630,-0.047,-0.711,11.353,7.446,-7.080
0.578,-0.072,-0.860,23.376,8.545,-13.794
0.496,-0.091,-0.989,26.917,6.775,-18.127
0.404,-0.081,-1.059,22.888,4.639,-17.517
0.341,-0.044,-1.077,12.878,3.601,-11.230
0.345,-0.009,-1.036,1.709,3.052,-1.709
0.412,0.015,-0.963,-7.874,3.296,7.263
0.470,0.045,-0.884,-11.902,3.296,12.390
0.518,0.060,-0.830,-10.620,3.113,13.977
0.555,0.054,-0.813,-5.371,3.540,11.902
0.570,0.032,-0.838,0.793,3.052,7.141
0.567,-0.028,-0.877,5.615,1.892,0.977
0.544,-0.075,-0.885,6.592,1.282,-2.869
0.492,-0.080,-0.875,5.371,2.014,-4.211
0.456,-0.078,-0.883,5.310,2.869,-3.418
0.440,-0.073,-0.929,5.615,3.174,-1.160
0.437,-0.047,-0.987,3.479,4.456,1.648
0.439,-0.007,-1.011,-1.221,4.395,4.211
0.446,0.030,-0.995,-6.348,2.686,5.493
0.471,0.056,-0.953,-9.644,0.671,5.249
0.482,0.071,-0.915,-11.108,-0.671,2.747
0.500,0.062,-0.891,-8.667,-1.709,-1.587
0.506,0.029,-0.896,-3.784,-2.686,-6.775
0.501,-0.007,-0.903,0.183,-3.540,-11.780
0.478,-0.033,-0.901,2.686,-4.272,-14.587
0.455,-0.056,-0.899,3.845,-4.089,-14.465
0.445,-0.072,-0.890,1.831,-2.441,-11.719
0.427,-0.057,-0.876,-1.648,0.122,-7.080
0.416,-0.027,-0.890,-2.808,1.770,-2.563
0.425,-0.014,-0.927,-2.014,2.258,0.122
0.434,-0.011,-0.976,-1.038,2.197,0.549
0.423,-0.007,-1.016,-0.610,-0.183,-0.671
0.397,0.003,-1.026,-1.099,-3.174,-2.136
0.375,0.006,-1.020,-2.686,-5.371,-3.174
0.372,-0.005,-1.004,-4.700,-7.141,-3.479
0.390,-0.026,-0.977,-6.714,-8.667,-2.258
0.408,-0.041,-0.938,-8.545,-9.766,-0.305
0.431,-0.054,-0.887,-9.705,-10.315,2.563
0.445,-0.065,-0.855,-8.606,-10.620,5.066
0.462,-0.071,-0.852,-6.714,-9.583,6.165
0.492,-0.083,-0.867,-4.517,-8.362,5.432
0.514,-0.089,-0.888,-2.869,-8.484,4.211

0.102,0.340,0.894,3.174,0.244,-0.916
0.107,0.341,0.898,2.869,0.488,-1.465
0.110,0.344,0.895,1.953,1.160,-1.587
0.117,0.331,0.903,3.601,1.648,-1.587
0.120,0.332,0.895,3.723,1.404,-1.343
0.121,0.327,0.891,2.930,1.038,-1.221
0.134,0.330,0.881,2.075,0.000,-1.526
0.123,0.327,0.880,1.709,-0.671,-0.488
0.126,0.328,0.876,1.892,-1.343,-0.244
0.127,0.327,0.876,1.953,-1.648,-0.305
0.129,0.325,0.883,1.892,-1.465,-0.122
0.139,0.331,0.895,1.831,-1.953,-0.122
0.130,0.339,0.896,1.465,-2.441,0.305
0.119,0.343,0.896,2.319,-2.991,0.061
0.115,0.340,0.895,3.296,-3.845,-0.366
0.112,0.335,0.891,4.150,-4.761,-0.061
0.115,0.331,0.889,5.310,-5.615,0.122
0.114,0.324,0.885,5.493,-7.141,0.183
0.111,0.328,0.880,4.150,-7.263,0.977
0.121,0.323,0.890,3.479,-5.676,1.038
0.118,0.328,0.894,1.465,-4.517,0.061
0.113,0.333,0.907,-0.061,-3.113,-0.916
0.111,0.341,0.918,-0.427,-2.380,-1.831
0.117,0.344,0.920,-0.793,-2.563,-2.075
0.118,0.338,0.919,0.427,-3.174,-2.075
0.124,0.333,0.915,2.075,-4.395,-1.892
0.126,0.333,0.909,2.930,-5.249,-1.770
0.119,0.341,0.910,3.113,-6.714,-1.831
0.109,0.359,0.910,2.991,-9.155,-1.831
0.101,0.375,0.922,3.418,-11.841,-1.709
0.098,0.390,0.939,5.005,-14.709,-1.465
0.094,0.414,0.968,6.958,-18.982,-0.854
0.080,0.465,1.010,7.690,-24.170,-0.488
0.076,0.556,1.071,5.798,-30.762,-0.427
0.032,0.666,1.173,5.554,-38.574,-1.343
-0.034,0.775,1.316,6.348,-46.997,-2.258
-0.143,0.890,1.509,11.963,-55.115,-4.028
-0.249,0.984,1.761,22.644,-64.514,-5.554
-0.403,1.075,2.012,33.203,-72.510,-4.395
-0.563,1.187,2.259,54.626,-75.073,-3.357
-0.664,1.138,2.425,95.825,-69.153,0.732
-0.720,1.078,2.499,144.104,-48.096,9.888
-0.663,0.906,2.412,190.979,-14.099,20.996
-0.621,0.734,2.179,233.276,34.302,33.691
-0.585,0.651,1.884,256.836,87.585,44.861
-0.554,0.729,1.614,262.268,135.620,49.377
-0.426,0.713,1.376,266.479,175.964,48.035
-0.239,0.666,1.198,275.940,207.031,48.035
-0.112,0.673,1.141,280.518,222.351,41.687
0.009,0.614,1.126,289.978,219.299,22.583
0.094,0.387,1.096,316.650,211.731,5.005
0.062,0.305,1.083,331.970,206.543,-2.136
-0.042,0.254,1.065,336.670,206.238,-0.122
-0.148,0.219,1.057,341.309,212.219,10.925
-0.236,0.266,1.062,335.144,221.191,28.137
-0.286,0.321,1.141,320.801,227.295,45.349
-0.258,0.337,1.271,312.744,231.079,58.350
-0.149,0.335,1.407,324.524,239.441,72.510
-0.057,0.350,1.471,357.422,254.578,90.393
-0.057,0.435,1.320,408.569,274.719,113.220
-0.077,0.526,0.935,464.233,301.392,140.198
-0.091,0.461,0.412,495.544,338.745,161.072
-0.082,0.363,0.003,481.445,382.080,159.180
-0.107,0.294,-0.305,435.791,428.650,146.484
-0.077,0.280,-0.481,388.062,464.783,137.634
0.076,0.252,-0.550,353.333,472.107,132.202
0.268,0.227,-0.613,341.003,439.819,128.479
0.368,0.232,-0.713,343.445,380.188,124.573
0.417,0.237,-0.806,348.267,310.181,111.511
0.420,0.226,-0.798,345.703,246.460,87.036
0.322,0.216,-0.720,341.919,197.998,60.303
0.177,0.228,-0.669,340.393,166.870,45.715
0.037,0.210,-0.718,339.294,156.372,46.509
0.009,0.122,-0.877,330.200,165.710,57.251
0.044,0.064,-1.040,301.453,187.805,73.792
0.098,0.067,-1.104,258.728,205.017,88.928
0.168,0.097,-1.105,219.788,208.313,103.943
0.223,0.145,-1.008,188.599,195.068,115.845
0.262,0.210,-0.825,170.105,174.744,121.521
0.354,0.192,-0.755,168.152,156.128,121.033
0.509,0.072,-0.740,166.931,144.592,114.563
0.575,0.026,-0.755,156.677,143.005,101.135
0.509,0.056,-0.763,140.808,141.785,84.167
0.312,0.116,-0.776,131.836,136.414,68.970
0.044,0.210,-0.841,130.859,130.310,61.096
-0.242,0.352,-0.981,133.118,127.136,64.453
-0.504,0.519,-1.238,137.695,128.723,77.637
-0.618,0.617,-1.569,141.296,127.747,89.294
-0.626,0.638,-1.899,139.343,114.319,101.501
-0.511,0.640,-2.153,126.526,86.670,109.375
-0.270,0.521,-2.291,100.830,51.025,111.694
0.108,0.283,-2.241,59.509,18.188,110.046
0.567,0.034,-1.961,15.686,-3.784,107.605
0.904,-0.097,-1.474,-21.240,-15.564,106.812
1.086,-0.053,-0.935,-46.326,-21.057,106.201
1.199,0.046,-0.384,-62.378,-18.738,97.595
1.218,0.164,-0.006,-56.763,-5.371,78.979
1.159,0.239,0.073,-23.682,10.864,49.316
1.021,0.233,-0.121,20.020,21.179,12.878
0.861,0.172,-0.445,56.824,22.766,-20.874
0.698,0.083,-0.785,79.102,21.240,-43.396
0.507,0.055,-1.046,79.529,22.827,-50.964
0.386,0.047,-1.227,62.927,27.527,-44.678
0.307,0.075,-1.328,39.551,30.579,-26.917
0.245,0.141,-1.318,15.869,27.527,-8.179
0.230,0.172,-1.229,-2.075,18.311,1.282
0.278,0.145,-1.106,-11.780,5.554,3.174
0.390,0.038,-0.964,-16.113,-4.944,1.221
0.502,-0.039,-0.832,-17.578,-10.742,0.183
0.584,-0.074,-0.724,-16.724,-12.451,0.977
0.658,-0.064,-0.649,-14.709,-9.644,6.775
0.697,-0.018,-0.607,-11.963,-3.174,14.771
0.702,0.061,-0.628,-7.507,5.249,20.447
0.674,0.134,-0.695,1.038,10.437,19.409
0.636,0.162,-0.790,12.390,10.254,11.292
0.586,0.158,-0.891,21.973,6.836,-0.793
0.527,0.141,-0.996,27.222,2.380,-12.146
0.505,0.099,-1.052,24.841,-1.953,-19.043
0.509,0.042,-1.052,15.747,-5.005,-18.555

-0.409,0.602,2.246,160.339,7.690,15.137
-0.417,0.540,2.228,187.439,39.612,18.921
-0.412,0.520,2.190,209.717,77.087,24.475
-0.427,0.490,2.110,231.079,111.267,29.968
-0.428,0.444,2.011,250.305,134.888,35.034
-0.425,0.369,1.895,266.541,150.085,42.419
-0.399,0.280,1.764,281.494,159.241,49.683
-0.355,0.228,1.611,294.617,167.236,57.739
-0.321,0.226,1.450,302.185,175.964,66.406
-0.264,0.202,1.306,305.237,181.458,72.571
-0.251,0.220,1.240,305.481,184.753,75.745
-0.269,0.309,1.237,301.819,184.082,73.425
-0.295,0.310,1.270,300.537,179.321,64.819
-0.340,0.295,1.314,306.458,178.894,53.528
-0.431,0.300,1.348,317.261,187.500,46.692
-0.486,0.271,1.346,335.083,200.928,47.974
-0.511,0.313,1.271,355.530,217.773,58.838
-0.496,0.349,1.174,368.530,230.103,70.190
-0.416,0.251,1.035,373.413,233.398,76.721
-0.305,0.195,0.924,366.394,237.000,79.346
-0.238,0.216,0.831,352.112,245.422,84.351
-0.192,0.243,0.813,344.055,253.906,89.172
-0.173,0.278,0.640,355.286,266.479,96.924
-0.111,0.310,0.328,374.146,279.785,106.995
-0.063,0.360,0.039,379.700,290.894,108.948
0.007,0.344,-0.157,371.704,294.678,100.647
0.072,0.303,-0.259,354.370,287.476,85.083
0.004,0.281,-0.313,337.646,270.081,71.228
-0.056,0.233,-0.414,334.412,245.422,64.453
-0.077,0.173,-0.525,334.229,220.459,65.979
-0.107,0.135,-0.569,326.843,197.449,70.618
-0.131,0.080,-0.635,317.505,179.871,74.707
-0.188,0.024,-0.731,304.504,175.415,76.721
-0.283,0.032,-0.830,278.809,192.627,83.008
-0.412,0.086,-0.929,247.925,229.858,99.792
-0.562,0.163,-1.109,218.323,278.625,126.770
-0.661,0.329,-1.392,192.993,333.984,160.156
-0.643,0.604,-1.648,170.532,382.629,190.125
-0.641,1.012,-2.009,161.499,406.982,204.468
-0.540,1.188,-2.543,188.843,386.780,188.660
-0.385,0.898,-3.140,238.159,313.782,148.499
-0.060,0.687,-3.678,260.315,208.984,113.708
0.225,0.362,-3.787,238.586,102.295,77.515
0.365,0.193,-3.270,150.757,13.123,38.086
0.397,-0.005,-2.323,42.603,-43.457,3.662
0.398,-0.089,-1.062,-51.758,-72.021,-21.179
0.507,-0.321,0.097,-91.064,-73.608,-32.410
0.724,-0.656,0.743,-63.232,-51.514,-28.442
0.930,-0.938,0.814,2.869,-10.742,-14.221
1.004,-1.001,0.512,69.580,28.259,2.991
0.947,-0.875,0.115,113.953,49.988,21.606
0.817,-0.651,-0.338,142.761,59.082,34.668
0.542,-0.335,-0.910,156.799,66.162,41.992
0.336,-0.069,-1.449,147.766,70.557,44.006
0.236,0.106,-1.834,114.197,65.369,42.236
0.158,0.271,-1.981,65.613,46.265,39.307
0.159,0.348,-1.885,23.376,19.165,32.410
0.253,0.322,-1.588,-6.226,-7.080,22.766
0.387,0.202,-1.215,-21.851,-26.611,16.235
0.545,-0.021,-0.828,-24.109,-37.109,16.357
0.694,-0.170,-0.504,-23.071,-36.926,18.799
0.834,-0.385,-0.345,-13.611,-29.114,19.043
0.883,-0.529,-0.321,0.549,-17.517,16.724
0.826,-0.593,-0.380,13.672,-5.066,13.855
0.681,-0.558,-0.514,23.437,5.493,11.108
0.548,-0.478,-0.670,28.992,12.512,8.850
0.429,-0.366,-0.838,31.250,14.221,8.606
0.332,-0.237,-0.990,31.799,12.207,9.766
0.283,-0.129,-1.111,28.198,9.216,15.259
0.314,-0.063,-1.146,21.545,6.348,21.667
0.377,-0.031,-1.126,10.803,2.869,27.710
0.500,-0.053,-1.074,1.709,0.183,31.311
0.619,-0.078,-0.963,-4.700,-0.427,28.809
0.682,-0.110,-0.823,-7.629,-1.770,20.447
0.694,-0.150,-0.729,-3.357,-5.188,9.827
0.672,-0.208,-0.707,4.517,-7.324,-0.183
0.619,-0.241,-0.711,11.353,-7.507,-6.897
0.531,-0.235,-0.737,16.174,-7.446,-8.057
0.491,-0.239,-0.788,20.142,-5.554,-4.761
0.485,-0.230,-0.845,20.142,-1.526,-0.305
0.509,-0.238,-0.859,17.395,2.197,3.906
0.525,-0.210,-0.864,15.015,3.479,7.080
0.523,-0.190,-0.878,15.137,2.869,6.897
0.502,-0.153,-0.925,14.893,1.892,4.944
0.497,-0.136,-0.982,13.245,0.061,2.197
0.502,-0.108,-1.013,8.057,-1.831,-0.244
0.528,-0.091,-1.002,1.404,-3.113,-1.892
0.545,-0.070,-0.948,-4.517,-3.845,-2.502
0.555,-0.074,-0.870,-6.531,-5.066,-3.906
0.570,-0.108,-0.806,-4.395,-5.859,-4.456
0.574,-0.148,-0.767,-0.793,-4.395,-4.028
0.563,-0.180,-0.760,3.113,-2.686,-2.991
0.535,-0.205,-0.775,6.531,-1.831,-2.991
0.521,-0.257,-0.818,8.789,-1.526,-3.540
0.505,-0.272,-0.837,8.057,-0.549,-2.502
0.489,-0.267,-0.847,5.493,1.038,-0.122
0.490,-0.238,-0.854,4.150,2.930,3.357
0.491,-0.204,-0.868,3.174,4.700,6.836
0.500,-0.162,-0.875,2.625,5.554,8.850
0.509,-0.120,-0.875,2.686,5.127,9.277
