aX,aY,aZ,gX,gY,gZ
-0.075,-0.097,1.162,324.158,124.268,68.359
-0.087,-0.115,1.140,319.763,138.184,62.988
-0.033,-0.206,1.130,319.641,144.226,59.265
0.018,-0.238,1.070,326.843,149.658,66.895
0.067,-0.233,0.974,337.952,156.006,83.801
0.142,-0.254,0.874,348.938,159.851,100.098
0.245,-0.337,0.763,359.131,162.170,111.023
0.347,-0.451,0.663,363.525,160.889,116.089
0.372,-0.460,0.595,357.239,157.837,116.150
0.357,-0.423,0.599,340.332,152.954,109.802
0.325,-0.381,0.588,323.608,144.592,96.619
0.228,-0.289,0.553,310.303,135.742,85.266
0.138,-0.181,0.492,303.833,131.714,80.505
0.036,-0.057,0.391,305.786,135.376,86.426
-0.020,0.021,0.229,312.134,147.217,97.595
-0.041,0.051,0.049,318.970,164.246,111.023
-0.028,0.094,-0.106,320.496,182.190,124.573
-0.012,0.131,-0.250,315.674,194.153,134.033
0.045,0.166,-0.350,305.908,196.472,138.184
0.122,0.176,-0.380,289.185,187.256,135.071
0.201,0.200,-0.382,269.836,174.011,122.314
0.253,0.192,-0.369,255.554,163.147,103.516
0.323,0.161,-0.381,250.305,151.184,85.938
0.488,-0.039,-0.487,256.897,138.000,74.402
0.660,-0.290,-0.636,272.461,126.099,68.848
0.666,-0.266,-0.757,282.349,120.239,72.205
0.581,-0.103,-0.833,275.513,123.657,80.078
0.420,0.125,-0.817,251.465,135.376,84.717
0.226,0.375,-0.799,221.985,154.419,88.379
0.108,0.474,-0.872,203.369,174.316,95.947
0.011,0.486,-0.988,194.397,188.904,102.783
-0.112,0.534,-1.172,195.984,194.946,103.455
-0.272,0.617,-1.422,209.351,194.519,99.487
-0.452,0.681,-1.775,229.858,181.213,92.834
-0.594,0.684,-2.184,245.300,153.564,91.003
-0.693,0.704,-2.501,237.061,116.333,96.069
-0.724,0.590,-2.702,203.796,74.158,103.577
-0.533,0.516,-2.654,135.193,42.053,100.891
-0.172,0.414,-2.282,49.194,19.531,83.740
0.195,0.254,-1.771,-16.052,-2.380,60.608
0.512,0.133,-1.164,-50.232,-28.015,40.405
0.795,-0.005,-0.588,-60.974,-42.542,26.489
1.042,-0.131,-0.100,-53.162,-37.842,15.747
1.245,-0.259,0.190,-25.391,-20.813,6.104
1.338,-0.368,0.242,19.348,-5.310,-1.709
1.256,-0.426,0.071,68.481,3.296,-9.277
1.036,-0.399,-0.278,107.178,12.695,-17.334
0.729,-0.285,-0.718,124.573,27.771,-23.254
0.382,-0.103,-1.134,119.751,43.579,-21.667
0.043,0.111,-1.443,101.379,49.866,-11.108
-0.134,0.250,-1.642,78.979,47.363,4.333
-0.252,0.355,-1.729,53.101,40.161,21.606
-0.175,0.344,-1.717,26.123,29.663,30.945
-0.024,0.269,-1.607,-2.197,15.198,33.020
0.145,0.181,-1.413,-26.245,-0.549,29.846
0.306,0.104,-1.158,-45.471,-10.498,22.827
0.463,0.006,-0.895,-55.176,-15.442,15.625
0.561,-0.094,-0.680,-53.162,-17.578,11.292
0.599,-0.155,-0.564,-41.687,-15.686,8.972
0.580,-0.193,-0.563,-25.574,-10.254,8.118
0.530,-0.212,-0.669,-8.362,-4.578,8.667
0.477,-0.208,-0.811,3.845,-2.502,9.766
0.451,-0.198,-0.931,9.216,-1.892,11.047
0.437,-0.164,-0.986,6.531,-1.221,12.573
0.435,-0.117,-0.983,1.160,-1.709,13.550
0.454,-0.085,-0.949,-2.441,-2.808,15.686
0.460,-0.036,-0.921,-4.761,-2.625,17.883
0.470,-0.003,-0.884,-4.944,-2.136,18.616
0.472,0.011,-0.874,-2.808,-2.563,17.395
0.462,0.010,-0.912,1.892,-3.845,14.648
0.443,0.004,-0.969,4.822,-5.249,12.085
0.430,-0.005,-1.019,3.235,-5.554,11.353
0.417,0.016,-1.063,-2.869,-4.517,13.000
0.421,0.046,-1.088,-11.597,-3.723,16.174
0.448,0.071,-1.084,-20.752,-3.418,18.555
0.488,0.085,-1.063,-28.625,-3.967,18.616
0.508,0.092,-1.031,-33.997,-6.775,15.503
0.510,0.083,-1.002,-36.011,-11.292,8.789
0.493,0.065,-0.979,-35.583,-15.747,0.549
0.451,0.054,-0.971,-33.997,-19.775,-6.348
0.411,0.038,-0.987,-32.593,-22.339,-11.047
0.361,0.035,-1.025,-31.982,-24.048,-12.085
0.318,0.048,-1.079,-34.424,-24.719,-10.376
0.293,0.060,-1.144,-40.161,-24.597,-7.568
0.291,0.079,-1.200,-48.767,-25.696,-5.676
0.301,0.090,-1.234,-59.570,-29.724,-5.432
0.308,0.085,-1.226,-70.435,-36.743,-7.812
0.307,0.083,-1.200,-79.529,-44.800,-11.658
0.311,0.076,-1.150,-87.769,-51.208,-15.015
0.325,0.077,-1.092,-94.543,-55.298,-18.494
0.341,0.074,-1.039,-97.778,-59.814,-22.095
0.351,0.055,-1.006,-97.534,-66.406,-24.231
0.376,0.023,-0.996,-96.802,-72.327,-25.696
0.395,-0.005,-0.982,-97.595,-75.806,-27.344
0.430,-0.048,-0.949,-100.708,-77.393,-29.907
0.471,-0.104,-0.909,-105.164,-78.430,-32.654
0.513,-0.152,-0.869,-110.657,-79.834,-36.255
